formulation,n_gen,horizon,n_var,n_constr,n_nz,n_var_binary,n_var_continuous,n_pwl_segments,build_time_s,lp_relax_time_s,lp_relax_obj,lp_relax_iters,mip_total_time_s,mip_obj,mip_dual_bound,mip_gap,mip_node_count,mip_simplex_iters,converged,status,bnc_time_s,root_lp_gap_pct,seed,error
three_bin,10,24,960,1968,6596,720,240,1,0.0143115989999387,0.0190578090000599,853809.0036992343,406,1.0743446039998616,863888.7003971365,863888.7003971365,0.0,1,2926,True,kOptimal,1.0552867949998015,1.16678186591264,42,
three_bin,10,24,960,1968,6259,720,240,1,0.0132054119999338,0.0174113139999008,798719.8655828184,381,0.5549396250000882,805484.724125284,805484.7241252831,1.1562262408226898e-15,1,1254,True,kOptimal,0.5375283110001874,0.8398493900442249,59,
three_bin_tight,10,24,960,1880,6126,720,240,1,0.0127379630000632,0.0146506329999738,856550.3931996324,378,1.2268615639998188,864658.4909961101,864642.0789274807,1.898098359098675e-05,1,1820,True,kOptimal,1.212210930999845,0.9377225668757356,42,
three_bin_tight,10,24,960,1899,5951,720,240,1,0.0145592339999893,0.0169592300001113,800662.4191176337,416,0.8730607979998695,806636.9066152421,806636.906615241,1.4432183907308344e-15,1,2597,True,kOptimal,0.8561015679997581,0.7406662711080466,59,
perspective,10,24,1920,2120,7566,720,1200,4,0.0180020540001351,0.0221943120000105,840426.1142824562,508,0.6783318410000447,845019.4781557126,845019.4781557126,0.0,1,1577,True,kOptimal,0.6561375290000342,0.5435808276611047,42,
perspective,10,24,1920,2139,7391,720,1200,4,0.0176866809999864,0.0193070620000526,785988.7875222598,464,0.8857132719999754,790726.5145871629,790726.5145871628,0.0,1,2050,True,kOptimal,0.8664062099999228,0.5991612747900186,59,
three_bin,10,72,2880,5904,20612,2160,720,1,0.0396371029999045,0.0484640619999936,2610093.290090086,1025,2.831957440999986,2636429.2594110705,2636429.2594110686,7.065029879265706e-16,1,6011,True,kOptimal,2.7834933789999923,0.998925695691434,42,
three_bin,10,72,2880,5904,19315,2160,720,1,0.0396545919998061,0.0447898080001323,2399024.980926523,985,2.536786038999935,2419790.041481581,2417612.0744304685,0.0009000644740977,1,4092,True,kOptimal,2.4919962309998027,0.8581348050488118,59,
three_bin_tight,10,72,2880,5816,20142,2160,720,1,0.0396313400001417,0.0486154629998054,2613009.729883972,1023,2.5584386689999974,2637205.0671384824,2637205.0671384824,1.7657378757163095e-16,1,5443,True,kOptimal,2.509823206000192,0.9174613516408888,42,
three_bin_tight,10,72,2880,5835,19007,2160,720,1,0.0388535540000702,0.0422367759999815,2400985.903673324,995,2.867095092,2419038.6431945087,2418646.865366328,0.0001619560023496,1,5001,True,kOptimal,2.824858316000018,0.7462774343011337,59,
perspective,10,72,5760,6536,24462,2160,3600,4,0.0536472210001193,0.0623810810000122,2565998.704213427,1320,1.6641138830000273,2580900.0641347924,2580900.064134792,1.8042592728744232e-16,1,3058,True,kOptimal,1.601732802000015,0.5773706672505727,42,
perspective,10,72,5760,6555,23327,2160,3600,4,0.0551735730000473,0.0570174619999761,2357115.036142406,1272,2.7118512859999555,2371749.096162434,2371620.201356049,5.434588616207178e-05,1,5056,True,kOptimal,2.65483382399998,0.6170155200525437,59,
three_bin,25,24,2400,4848,16154,1800,600,1,0.0338621539999621,0.0518730829999185,1951215.5211624308,956,4.8939232720001655,1957589.2029519617,1956026.054621252,0.000798506820712,1,7153,True,kOptimal,4.842050189000247,0.3255883195473117,42,
three_bin,25,24,2400,4848,15646,1800,600,1,0.0320351899999877,0.0525937229999726,2008852.915545015,992,4.896770462000177,2018111.3830101928,2016136.3140469247,0.0009786719305464,1,8043,True,kOptimal,4.844176739000204,0.458768903595845,59,
three_bin_tight,25,24,2400,4639,15038,1800,600,1,0.0450892940000358,0.0479227379998974,1951723.394321344,977,2.89316434500006,1957783.2105094555,1955955.2611078853,0.0009336832555092,1,4363,True,kOptimal,2.845241607000162,0.3095243720337663,42,
three_bin_tight,25,24,2400,4668,14771,1800,600,1,0.0304689889999281,0.0513588809999419,2009676.5162229813,1034,2.848952202999953,2018272.637903024,2016740.473587944,0.0007591463543157,1,4759,True,kOptimal,2.7975933220000115,0.4259147906287728,59,
perspective,25,24,4800,5239,18638,1800,3000,4,0.045001677999835,0.070434854999803,1923409.584708711,1287,4.728283784000041,1926883.29863904,1926733.505983963,7.773831201043465e-05,1,7155,True,kOptimal,4.657848929000238,0.1802763007382334,42,
perspective,25,24,4800,5268,18371,1800,3000,4,0.0441322490000857,0.0692685249998703,1976392.7816251444,1264,4.336896441999897,1982563.547760258,1981715.8383647087,0.000427582458331,1,5650,True,kOptimal,4.267627917000027,0.3112518709468246,59,
three_bin,25,72,7200,14544,50426,5400,1800,1,0.1165595859999939,0.193733727000108,5631745.449536408,2858,6.403411072999916,5646181.36262494,5643077.929355023,0.0005496517151325,1,7701,True,kOptimal,6.209677345999808,0.2556756887777317,42,
three_bin,25,72,7200,14544,48478,5400,1800,1,0.1023608989999047,0.1842576890001055,6021866.033481992,2948,11.390748970999994,6041593.131508897,6037131.531765695,0.0007384806699301,1,15723,True,kOptimal,11.206491281999888,0.3265214587857944,59,
three_bin_tight,25,72,7200,14335,49310,5400,1800,1,0.1004895180001312,0.1771152640001219,5632259.219216646,2816,7.120798437000076,5645236.45046615,5643247.124738327,0.0003523901514626,1,8561,True,kOptimal,6.943683172999954,0.2298793215018148,42,
three_bin_tight,25,72,7200,14364,47603,5400,1800,1,0.0968257619999803,0.1527518960001543,6022922.366879528,2860,7.875930014999994,6043754.278106853,6037785.23859394,0.0009876376897942,1,10361,True,kOptimal,7.72317811899984,0.3446849469507282,59,
perspective,25,72,14400,16135,60110,5400,9000,4,0.1447287339999547,0.2390040330001284,5548986.581862014,3474,9.733711504999974,5563372.518821031,5557976.632713599,0.0009698948055657,1,8961,True,kOptimal,9.494707471999844,0.2585830251407591,42,
perspective,25,72,14400,16164,58403,5400,9000,4,0.1480145390000871,0.2223248570001033,5924947.378125642,3624,10.374285572999952,5939442.135757354,5936513.437361093,0.0004930931776621,1,11941,True,kOptimal,10.151960715999849,0.2440424083677582,59,
three_bin,50,24,4800,9648,32275,3600,1200,1,0.0674067549998653,0.153866029000028,4781731.749005275,2103,4.621448339999915,4787824.899775813,4786058.8347444665,0.0003688658353879,1,6264,True,kOptimal,4.467582310999887,0.1272634421284662,42,
three_bin,50,24,4800,9648,31595,3600,1200,1,0.0660176070000488,0.1672283590000916,3628857.800245823,2245,4.466819137999892,3640525.688635753,3637709.839295398,0.0007734732786378,1,5491,True,kOptimal,4.2995907789998,0.3205000977290749,59,
three_bin_tight,50,24,4800,9244,30072,3600,1200,1,0.0635325299999749,0.1360422459999881,4789719.038500092,2077,5.074291694999829,4794590.386790207,4792388.458914459,0.0004592525530054,1,5479,True,kOptimal,4.938249448999841,0.1016009272353262,42,
three_bin_tight,50,24,4800,9286,29762,3600,1200,1,0.0633331359999829,0.1478876459998446,3638647.614569169,2273,4.657131910999851,3647216.374272764,3645077.04117473,0.0005865659940342,1,6003,True,kOptimal,4.509244265000007,0.2349397135864551,59,
perspective,50,24,9600,10444,37272,3600,6000,4,0.0922664720001193,0.1568054130000291,4727537.622877163,2353,5.816302609999866,4731146.346915287,4730273.94612163,0.0001843952246849,1,7441,True,kOptimal,5.659497196999837,0.0762758911585344,42,
perspective,50,24,9600,10486,36962,3600,6000,4,0.0929846960000304,0.1767920489999142,3588185.7975974646,2439,6.204366665999942,3597629.635660809,3594343.8240919504,0.0009133268017055,1,7248,True,kOptimal,6.027574617000028,0.2625016752623488,59,
three_bin,50,72,14400,28944,100723,10800,3600,1,0.224858217000019,0.5486885650000204,13391705.790851818,6285,12.936862149000037,13406832.235723222,13400835.734312512,0.0004472720554173,1,13311,True,kOptimal,12.388173584000016,0.1128263903466924,42,
three_bin,50,72,14400,28944,98027,10800,3600,1,0.2371694800001478,0.5575237959999413,11912047.608153945,6678,15.971018115000106,11934336.819060156,11926834.776788974,0.0006286098997307,1,14412,True,kOptimal,15.413494319000163,0.1867653916941189,59,
three_bin_tight,50,72,14400,28540,98520,10800,3600,1,0.2179697629999282,0.5529479329998139,13399591.815134449,6354,13.757869045999996,13412304.205638198,13407037.183034047,0.0003927008009508,1,13403,True,kOptimal,13.204921113000182,0.0947815551216557,42,
three_bin_tight,50,72,14400,28582,96194,10800,3600,1,0.2285416300001088,0.5057218889999149,11921910.982154807,6693,14.131466799000007,11941099.896916352,11934017.893055383,0.0005930780181143,1,14428,True,kOptimal,13.625744910000094,0.1606963757710341,59,
perspective,50,72,28800,32140,120120,10800,18000,4,0.3334779130000243,0.621193188999996,13225873.50717408,6888,15.163629907000086,13239793.058900984,13233099.065074926,0.0005055965600276,1,14708,True,kOptimal,14.54243671800009,0.1051342091600577,42,
perspective,50,72,28800,32182,117794,10800,18000,4,0.3363001090001489,0.6134338189999653,11769075.955575876,7102,20.41337970299992,11788568.880672617,11781613.539813392,0.0005900072290052,1,18175,True,kOptimal,19.79994588399996,0.1653544657884451,59,
three_bin,100,24,9600,19248,64313,7200,2400,1,0.1390084820000083,0.4517339290000564,9451723.175733345,4644,8.044258552999963,9461859.67293734,9458888.45813901,0.0003140201716188,1,8363,True,kOptimal,7.592524623999907,0.1071300733088104,42,
three_bin,100,24,9600,19248,63013,7200,2400,1,0.1398127159998239,0.3905599349998283,8768244.588049166,4237,9.927477115000102,8781301.344433593,8777633.436357474,0.0004176952745667,1,8744,True,kOptimal,9.536917180000271,0.1486881712891372,59,
three_bin_tight,100,24,9600,18446,60156,7200,2400,1,0.1486360430001241,0.3894339159999163,9464126.253376463,4459,7.458258761000025,9473559.06326569,9470385.020088354,0.0003350423168462,1,8348,True,kOptimal,7.068824845000108,0.0995698641475034,42,
three_bin_tight,100,24,9600,18530,59272,7200,2400,1,0.1303636659999938,0.3452213549999214,8771312.171384385,4166,9.820761597,8781147.353995392,8778889.11084454,0.000257169485924,1,8518,True,kOptimal,9.47554024200008,0.1120033887887357,59,
perspective,100,24,19200,20846,74556,7200,12000,4,0.2061996330000965,0.4221089899999697,9336842.162115743,4947,12.179362457000025,9344425.834579172,9342712.15293373,0.0001833907910213,1,10769,True,kOptimal,11.757253467000057,0.0811571796671188,42,
perspective,100,24,19200,20930,73672,7200,12000,4,0.1999148919999243,0.3922311819999322,8644683.53350309,4537,2.548551085999861,8659729.550413776,8651105.38367054,0.0009958933120288,1,3606,True,kOptimal,2.156319903999929,0.1737469608386114,59,
three_bin,100,72,28800,57744,200249,21600,7200,1,0.5356735450000087,1.976515418999952,29112467.91763879,14178,21.529297971000005,29137550.927886635,29125784.639402103,0.0004038187187953,1,21464,True,kOptimal,19.552782552000053,0.0860848267924914,42,
three_bin,100,72,28800,57744,195685,21600,7200,1,0.5618424789997789,1.5910932100000537,27342856.44740193,13107,24.56271259699997,27364923.98436489,27357021.223270085,0.0002887916333812,1,21266,True,kOptimal,22.97161938699992,0.0806416892499486,59,
