formulation,solver,n_gen,horizon,n_var,n_constr,n_var_binary,build_time_s,lp_relax_time_s,lp_relax_obj,mip_total_time_s,mip_obj,mip_node_count,mip_simplex_iters,converged,status,root_lp_gap_pct,presolve,cuts,n_total_intended,fleet_pattern,plateau,symmetry_score,n_gen_actual,fleet_recipe,seed
three_bin,GLPK,8,6,240,699,0,0.0307685950001541,0.1209175519998098,102697.38641156866,0.1173923319997811,102697.3864,1874,0,True,optimal,-1.1264800981565992e-08,False,False,8,diverse,1.0,8.0,8,"[(2, 'baseload_med'), (4, 'midmerit'), (2, 'peaker')]",42
three_bin,GLPK,8,6,240,693,0,0.0121505959996284,0.1021845609998308,93083.41233830027,0.0938536580001709,93083.41234,1562,0,True,optimal,1.8260045605231123e-09,False,False,8,diverse,1.0,8.0,8,"[(2, 'baseload_med'), (4, 'midmerit'), (2, 'peaker')]",59
three_bin,GLPK,8,6,240,700,0,0.0177622339997469,0.1094595989998197,96014.35659759906,0.128616170999976,96014.3566,1258,0,True,optimal,2.5006000461429696e-09,False,False,8,diverse,0.0,8.0,8,"[(2, 'baseload_med'), (4, 'midmerit'), (2, 'peaker')]",42
three_bin,GLPK,8,6,240,700,0,0.0131009350002386,0.1130805779998809,92224.28836301474,0.095639993000077,92224.28836,1555,0,True,optimal,-3.2689163379693317e-09,False,False,8,diverse,0.0,8.0,8,"[(2, 'baseload_med'), (4, 'midmerit'), (2, 'peaker')]",59
three_bin,GLPK,8,6,240,746,0,0.012312944000314,0.2323489880000124,127345.97886885823,0.2195598660000541,127345.9789,3500,0,True,optimal,2.4454445828513192e-08,False,False,8,sym4,1.0,12.0,8,"[(4, 'baseload_med'), (4, 'midmerit')]",42
three_bin,GLPK,8,6,240,738,0,0.0125694769999427,0.0403973670004234,115840.81136711058,0.0324168610000015,115840.8114,593,0,True,optimal,2.839191429550188e-08,False,False,8,sym4,1.0,12.0,8,"[(4, 'baseload_med'), (4, 'midmerit')]",59
three_bin,GLPK,8,6,240,740,0,0.0120180190001519,0.123673167999641,119485.23194898295,0.1109699969997564,119485.2319,1675,0,True,optimal,-4.0994998495342926e-08,False,False,8,sym4,0.0,12.0,8,"[(4, 'baseload_med'), (4, 'midmerit')]",42
three_bin,GLPK,8,6,240,740,0,0.0130120289995829,0.1374363889999585,115913.32942908411,0.1139582920000066,115913.3294,1600,0,True,optimal,-2.5091270619230864e-08,False,False,8,sym4,0.0,12.0,8,"[(4, 'baseload_med'), (4, 'midmerit')]",59
three_bin,GLPK,24,6,720,2059,0,0.0360850319998462,0.5540833070003828,272795.187509784,0.5301359780000894,272795.1875,3890,0,True,optimal,-3.586576947081557e-09,False,False,8,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,6,720,2043,0,0.0348748269998395,0.5748635509999076,280088.8855370753,0.5418540420000681,280088.8855,4003,0,True,optimal,-1.3236980590996051e-08,False,False,8,sym8,1.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,24,6,720,2060,0,0.0364497549999214,5.233343445000173,272598.77777499566,5.030562232999728,272598.7778,26334,0,True,optimal,9.17257344587372e-09,False,False,8,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",42
three_bin,GLPK,24,6,720,2060,0,0.0354650500003117,15.508429045999948,281791.9934349931,12.807661864000238,281791.9934,64005,0,True,optimal,-1.2418062891979812e-08,False,False,8,sym8,0.0,84.0,24,"[(8, 'baseload_med'), (8, 'midmerit'), (8, 'peaker')]",59
three_bin,GLPK,8,8,320,979,0,0.0158817909996287,0.225535556000068,128667.62167864502,0.2136694230002831,128667.6217,2007,0,True,optimal,1.6597010942787977e-08,False,False,8,diverse,1.0,8.0,8,"[(2, 'baseload_med'), (4, 'midmerit'), (2, 'peaker')]",42
